date,nav
2024-01-02,1.0
2024-01-03,1.0
2024-01-04,1.0
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-15,1.0
2024-01-16,1.0
2024-01-17,0.9718468055393911
2024-01-18,1.0021206303303913
2024-01-19,0.9711962155583911
2024-01-22,0.944326369591391
2024-01-23,0.949957055105391
2024-01-24,0.9490219110093912
2024-01-25,0.9595196616463911
2024-01-26,0.9444026926463911
2024-01-29,0.9049486356033911
2024-01-30,0.8819695710213911
2024-01-31,0.8763661708827263
2024-02-01,0.8554980054237262
2024-02-02,0.8579471213637262
2024-02-05,0.8411338072207263
2024-02-06,0.8617299226397265
2024-02-07,0.8711785309227262
2024-02-08,0.8722352508227261
2024-02-19,0.8878369311147263
2024-02-20,0.8944904997537262
2024-02-21,0.9047179054197264
2024-02-22,0.9114907720624744
2024-02-23,0.9291486359654743
2024-02-26,0.9325105404674743
2024-02-27,0.9718892280034743
2024-02-28,0.9339379449814743
2024-02-29,0.9719925002974743
2024-03-01,0.9845286694784744
2024-03-04,0.9914276244214741
2024-03-05,0.9859249883404742
2024-03-06,0.9885380797904744
2024-03-07,0.9615465954508164
2024-03-08,0.9834471773388165
2024-03-11,1.0038931901398165
2024-03-12,0.9923014950968163
2024-03-13,0.9796115410488164
2024-03-14,0.9674772745688165
2024-03-15,0.9697032102988165
2024-03-18,1.0044610675978165
2024-03-19,0.9928075820858165
2024-03-20,0.9956172839118165
2024-03-21,0.9838565601619056
2024-03-22,0.9781419518619056
2024-03-25,0.9668363653309054
2024-03-26,0.9730451489209055
2024-03-27,0.9619512833659055
2024-03-28,0.9863036863699055
2024-03-29,0.9996549354389055
2024-04-01,1.0188915740739055
2024-04-02,1.0017337050099056
2024-04-03,0.9843859904499056
2024-04-08,0.9675226093340606
2024-04-09,0.9596403045130607
2024-04-10,0.9609515587370606
2024-04-11,0.9617707667680606
2024-04-12,0.9728840801680606
2024-04-15,0.9800283167120607
2024-04-16,0.9366160181140607
2024-04-17,0.9629214633130605
2024-04-18,0.9639766548220605
2024-04-19,0.9646856322120606
2024-04-22,0.9485824333659859
2024-04-23,0.935714334507986
2024-04-24,0.928502793155986
2024-04-25,0.9278792323429859
2024-04-26,0.946841295228986
2024-04-29,0.9456270524409857
2024-04-30,0.9430124773679859
2024-05-06,0.9452706990279858
2024-05-07,0.9488812323569858
2024-05-08,0.9416377187169859
2024-05-09,0.9437823610117121
2024-05-10,0.9574384046737121
2024-05-13,0.9659135560057122
2024-05-14,0.9754984216597121
2024-05-15,0.9565325619387121
2024-05-16,0.9528663647597121
2024-05-17,0.956174918837712
2024-05-20,0.9585557441097121
2024-05-21,0.963840720833712
2024-05-22,0.957047846375712
2024-05-23,0.943661998441067
2024-05-24,0.9189460673750671
2024-05-27,0.9187062872220672
2024-05-28,0.8993031108460671
2024-05-29,0.9184241816730669
2024-05-30,0.9173325982550671
2024-05-31,0.9101532381860671
2024-06-03,0.9168690155190671
2024-06-04,0.923336234683067
2024-06-05,0.913525312102067
2024-06-06,0.9151934353573041
2024-06-07,0.9092814458863041
2024-06-11,0.9138279402893041
2024-06-12,0.911944532221304
2024-06-13,0.920935989799304
2024-06-14,0.9090875139203042
2024-06-17,0.931295228721304
2024-06-18,0.9412171768503041
2024-06-19,0.9338897949343042
2024-06-20,0.9345603733153042
2024-06-21,0.9283419154417252
2024-06-24,0.9117377166947251
2024-06-25,0.8809334208797251
2024-06-26,0.903222239328725
2024-06-27,0.8992635077957252
2024-06-28,0.9273433178377252
2024-07-01,0.9354315424387251
2024-07-02,0.9254287521567252
2024-07-03,0.910099525792725
2024-07-04,0.9075684544837251
2024-07-05,0.9160010122213532
2024-07-08,0.9228846618993531
2024-07-09,0.9551830896983532
2024-07-10,0.9561570462883532
2024-07-11,0.9663526438293532
2024-07-12,0.9426737723083533
2024-07-15,0.9464817176113531
2024-07-16,0.9707731832633532
2024-07-17,0.9374690117293534
2024-07-18,0.939104563644353
2024-07-19,0.9458805799710964
2024-07-22,0.9457088205380965
2024-07-23,0.9100325433760964
2024-07-24,0.9037846325850966
2024-07-25,0.9063386030740965
2024-07-26,0.9004316844290963
2024-07-29,0.8918825103450965
2024-07-30,0.8873503426910965
2024-07-31,0.9107091365290964
2024-08-01,0.8997402711590965
2024-08-02,0.8900178739892117
2024-08-05,0.8740138886432116
2024-08-06,0.8736739358122116
2024-08-07,0.8737958978642117
2024-08-08,0.8656726796832115
2024-08-09,0.8572939121252116
2024-08-12,0.8518317578112116
2024-08-13,0.8611010175212115
2024-08-14,0.8515853372932117
2024-08-15,0.8607570503542116
2024-08-16,0.8592555228156905
2024-08-19,0.8645757519136906
2024-08-20,0.8548306177886906
2024-08-21,0.8532271541956906
2024-08-22,0.8381627931856906
2024-08-23,0.8441845057146905
2024-08-26,0.8459910228556906
2024-08-27,0.8329184944596906
2024-08-28,0.8279201702346907
2024-08-29,0.8310795740256905
2024-08-30,0.8473724488630304
2024-09-02,0.8446460455510305
2024-09-03,0.8495055363810305
2024-09-04,0.8396693019930305
2024-09-05,0.8433218562110304
2024-09-06,0.8376161084880305
2024-09-09,0.8311949481070303
2024-09-10,0.8285854839570306
2024-09-11,0.8267834727810305
2024-09-12,0.8186960176390304
2024-09-13,0.8001107167102376
2024-09-18,0.8026136110472375
