date,code,action,price,shares,pnl,reason
2023-02-21,600415,buy,5.09285224,20600,0.0,
2023-02-21,600438,buy,36.96560704,2800,0.0,
2023-02-21,600050,buy,5.0157712,20900,0.0,
2023-02-21,600031,buy,18.16855506,5700,0.0,
2023-02-21,600019,buy,5.90274867,17700,0.0,
2023-02-21,600233,buy,17.07232992,6100,0.0,
2023-02-21,600089,buy,15.3309198,6800,0.0,
2023-03-07,600219,sell,3.06202054,31800,-1903.9267379999947,
2023-03-07,600309,sell,96.8527386,1000,4349.645639999988,
2023-03-07,600066,sell,8.25831216,12900,1887.3819719999738,
2023-03-07,600415,sell,4.91232203,20600,-3718.9223259999853,
2023-03-07,600438,sell,36.11622976,2800,-2378.256383999993,
2023-03-07,600031,sell,17.17805751,5700,-5645.836035000015,
2023-03-07,600019,sell,5.97397339,17700,1260.6775440000056,
2023-03-07,600233,sell,16.5668991,6100,-3083.128002000012,
2023-03-07,600089,sell,15.27440028,6800,-384.33273599999666,
2023-03-07,600028,buy,4.53744432,22400,0.0,
2023-03-07,600377,buy,7.66467409,13200,0.0,
2023-03-07,600482,buy,16.60738464,6100,0.0,
2023-03-07,600016,buy,2.84928255,35700,0.0,
2023-03-07,600489,buy,8.70680678,11700,0.0,
2023-03-07,600015,buy,4.43456184,22900,0.0,
2023-03-07,600150,buy,25.5904368,3900,0.0,
2023-03-07,600018,buy,4.91338718,20700,0.0,
2023-03-07,600000,buy,6.54855385,15500,0.0,
2023-03-21,600050,sell,5.1166368,20900,2108.091040000014,
2023-03-21,600028,sell,4.80486024,22400,5990.116608000011,
2023-03-21,600377,sell,7.79789554,13200,1758.5231400000048,
2023-03-21,600482,sell,16.49967165,6100,-657.049239,
2023-03-21,600016,sell,2.8079886,35700,-1474.194015000001,
2023-03-21,600489,sell,9.26374538,11700,6516.1816199999885,
2023-03-21,600015,sell,4.4098338,22900,-566.2721159999783,
2023-03-21,600150,sell,24.77193728,3900,-3192.1481280000007,
2023-03-21,600000,sell,6.38730355,15500,-2499.3796500000026,
2023-03-21,600276,buy,41.1011328,2500,0.0,
2023-03-21,600161,buy,20.41618026,5000,0.0,
2023-03-21,600372,buy,17.47631745,5900,0.0,
2023-03-21,600436,buy,271.6441434,300,0.0,
2023-03-21,600025,buy,6.65507964,15500,0.0,
2023-03-21,600023,buy,3.4918656,29500,0.0,
2023-03-21,600406,buy,21.27361608,4800,0.0,
2023-03-21,600039,buy,7.74661736,13300,0.0,
2023-03-21,600460,buy,35.38821195,2900,0.0,
2023-04-04,600018,sell,5.03123595,20700,2439.4695390000124,
2023-04-04,600276,sell,42.6325452,2500,3828.5310000000027,
2023-04-04,600161,sell,20.6694422,5000,1266.309699999998,
2023-04-04,600372,sell,17.35948413,5900,-689.3165880000015,
2023-04-04,600025,sell,6.55168151,15500,-1602.6710150000144,
2023-04-04,600406,sell,20.9542392,4800,-1533.009023999999,
2023-04-04,600039,sell,8.38722584,13300,8520.092783999993,
2023-04-04,600066,buy,9.61573158,11200,0.0,
2023-04-04,600415,buy,5.78646831,18600,0.0,
2023-04-04,600085,buy,53.83400116,2000,0.0,
2023-04-04,600489,buy,10.10843559,10600,0.0,
2023-04-04,600196,buy,32.0352445,3300,0.0,
2023-04-04,600115,buy,5.49,19600,0.0,
2023-04-04,600009,buy,55.95863555,1900,0.0,
2023-04-19,600436,sell,264.46208076,300,-2154.6187920000084,
2023-04-19,600460,sell,37.61801771,2900,6466.4367039999925,
2023-04-19,600085,sell,52.2484007,2000,-3171.200920000003,
2023-04-19,600489,sell,10.94384349,10600,8855.323740000022,
2023-04-19,600196,sell,32.0834178,3300,158.9718900000007,
2023-04-19,600115,sell,5.32,19600,-3332.0,
2023-04-19,600009,sell,54.06173265,1900,-3604.1155099999887,
2023-04-19,600276,buy,48.07646928,2100,0.0,
2023-04-19,600015,buy,4.739541,21900,0.0,
2023-04-19,600309,buy,90.96514884,1100,0.0,
2023-04-19,600000,buy,6.74563755,15400,0.0,
2023-04-19,600016,buy,2.94838803,35200,0.0,
2023-04-19,600036,buy,29.6472925,3500,0.0,
2023-04-19,600176,buy,14.5235688,7100,0.0,
2023-05-08,600066,sell,11.3389227,11200,19299.740543999986,
2023-05-08,600276,sell,45.95225208,2100,-4460.856119999997,
2023-05-08,600309,sell,84.36048084,1100,-7265.1348,
2023-05-08,600000,sell,7.22938845,15400,7449.763860000006,
2023-05-08,600036,sell,29.730806,3500,292.2972500000178,
2023-05-08,600176,sell,13.96637528,7100,-3956.0739919999905,
2023-05-08,600482,buy,18.85956534,5600,0.0,
2023-05-08,600150,buy,27.28660448,3900,0.0,
2023-05-08,600377,buy,9.49424867,11200,0.0,
2023-05-08,600436,buy,290.74804389,300,0.0,
2023-05-08,600030,buy,21.09344084,5000,0.0,
2023-05-08,600085,buy,59.15435933,1700,0.0,
2023-05-22,600023,sell,4.4193924,29500,27362.040600000008,
2023-05-22,600415,sell,7.82931016,18600,37996.858410000015,
2023-05-22,600015,sell,4.97033604,21900,5054.411376000004,
2023-05-22,600016,sell,3.34480995,35200,13954.051584000015,
2023-05-22,600377,sell,8.44623993,11200,-11737.697887999995,
2023-05-22,600030,sell,19.8012468,5000,-6460.970199999982,
2023-05-22,600085,sell,57.05296113,1700,-3572.376940000002,
2023-05-22,600346,buy,14.83971972,7800,0.0,
2023-05-22,600011,buy,9.0537216,12900,0.0,
2023-05-22,600276,buy,48.1159896,2400,0.0,
2023-05-22,600406,buy,21.67088976,5400,0.0,
2023-05-22,600161,buy,22.058298,5300,0.0,
2023-05-22,600426,buy,28.5766393,4100,0.0,
2023-05-22,600025,buy,7.08747182,16500,0.0,
