date,code,action,price,shares,pnl,fee,reason
2023-06-05,600436,sell,289.0201014,300,-4641.723644337006,195.08856844500002,
2023-06-05,600276,sell,45.942372,2100,-4882.7182458599855,217.07770770000002,
2023-06-05,600415,buy,8.77921128,11500,0.0,25.265472662429996,
2023-06-05,601138,buy,17.5286121,5700,0.0,25.003250514742497,
2023-06-05,600161,buy,22.09097696,4500,0.0,24.877201429079996,
2023-06-05,601100,buy,53.61654992,1800,0.0,24.151574911463996,
2023-06-05,600803,buy,16.1102172,6200,0.0,24.99580749666,
2023-06-05,600690,buy,20.62223925,4900,0.0,25.287505324331246,
2023-06-05,600346,buy,14.12376833,7100,0.0,25.094758474535748,
2023-06-05,600029,buy,5.89,17100,0.0,25.204929749999994,
2023-06-05,600570,buy,43.03373746,2300,0.0,24.769143438539494,
2023-06-19,600415,sell,8.89409736,11500,990.0942210900248,230.13476919000004,
2023-06-19,600161,sell,21.8132058,4500,-1570.238325044993,220.858708725,
2023-06-19,600803,sell,16.4589232,6200,1832.4918747200136,229.60197864000006,
2023-06-19,600690,sell,21.12764205,4900,2142.4924940737546,232.93225360125,
2023-06-19,600346,sell,13.56588413,7100,-4277.971574119743,216.71499897675002,
2023-06-19,600029,sell,6.25,17100,5814.812250000017,240.46875000000003,
2023-06-19,600183,buy,15.29667054,6700,0.0,25.6475450776545,
2023-06-19,600845,buy,43.3150496,2300,0.0,24.93105967352,
2023-06-19,600031,buy,16.0659358,6400,0.0,25.731202777279993,
2023-06-19,600809,buy,199.87705093,500,0.0,25.00961599761625,
2023-06-19,600233,buy,14.01304671,7300,0.0,25.599384055995746,
2023-07-05,601138,sell,22.0936442,5700,25637.41889416502,283.35098686500004,
2023-07-05,600570,sell,42.555724,2300,-1418.6344258579775,220.2258717,
2023-07-05,600183,sell,14.51806906,6700,-5537.977499697488,218.85989107950002,
2023-07-05,600845,sell,39.724,2300,-8564.610394079995,205.57170000000002,
2023-07-05,600031,sell,15.90384624,6400,-1369.2105589759594,229.01538585600002,
2023-07-05,600233,sell,14.48871021,7300,3132.0712438177725,237.97706519925003,
2023-07-05,600111,buy,26.35010631,3900,0.0,25.71704500590225,
2023-07-05,600276,buy,48.77158986,2100,0.0,25.630689761176498,
2023-07-05,600010,buy,1.91,54600,0.0,26.097571499999997,
2023-07-05,600760,buy,44.469754,2300,0.0,25.595678658550003,
2023-07-05,600161,buy,21.04525024,4900,0.0,25.806211975543995,
2023-07-05,600660,buy,33.31724825,3100,0.0,25.846688261143743,
