date,nav,cash,holdings,dd,index
2023-01-03,999025.3577052079,24383.06291320786,10,-0.09746422947921607,
2023-01-17,1031462.3806945438,8347.130876543859,10,0.0,
2023-02-07,1032562.1383606959,3136.458903695937,10,0.0,
2023-02-21,1067326.8388394238,8495.736135423882,10,0.0,
2023-03-07,1045108.692884387,3558.759025386884,10,-2.0816628184105346,
2023-03-21,1053118.516174877,26102.451053876997,10,-1.3312063509989591,
2023-04-04,1061348.234926667,6896.598947666964,10,-0.5601474351809355,
2023-04-19,1127229.476456757,3094.439539757077,10,0.0,
2023-05-08,1202046.801278739,29587.45942173904,10,0.0,
2023-05-22,1131602.719005024,6415.490460024041,10,-5.8603443891516065,
2023-06-05,1101406.0102918632,8677.162703863112,10,-8.372451961089533,
2023-06-19,1114592.4064399109,6058.808757911014,10,-7.275456724795903,
2023-07-05,1123412.116248489,6463.728232489084,10,-6.541732397324163,
2023-07-19,1113575.8280770471,8517.943614047006,10,-7.360027339000141,
2023-08-02,1137054.5944920282,28030.6291010281,10,-5.4067950363972495,
2023-08-16,1109621.2155675879,5218.124039587972,10,-7.689017234006923,
2023-08-30,1082866.252977895,3605.9253628949955,10,-9.914801002262097,
2023-09-13,1105711.5102845402,6781.69981254013,10,-8.014271232344461,
2023-09-27,1100864.641377564,3941.854021564126,10,-8.417489218684103,
2023-10-19,1067676.265856092,3228.5903420920804,10,-11.178477849589829,
2023-11-02,1108250.8314746812,7274.916008681117,10,-7.8030214550945605,
2023-11-16,1089039.5196697582,4023.464419758224,10,-9.401238078980246,
2023-11-30,1095478.8050419344,6953.4470329342585,10,-8.865544679577987,
2023-12-14,1088607.785330787,9597.689139787093,10,-9.43715467877585,
2023-12-28,1079832.922437872,19046.48157787208,10,-10.167148126916159,
2024-01-12,1093268.3644034192,2113.8903774191276,10,-9.049434411339153,
2024-01-26,1116100.0226296461,23309.949494646164,10,-7.150035968455015,
2024-02-19,1139381.477451219,6161.475705219185,10,-5.21321830072311,
2024-03-04,1189242.191360655,5603.0879066553025,10,-1.06523389143105,
2024-03-18,1209870.4654528564,14149.80168585632,10,0.0,
2024-04-01,1219360.6495779618,12247.204990961443,10,0.0,
2024-04-17,1276858.7753240746,4344.693694074522,10,0.0,
2024-05-06,1312474.1630099572,19674.287651957435,10,0.0,
2024-05-20,1349124.2745274713,2274.805526471435,10,0.0,
2024-06-03,1273332.0930823465,7224.757192346384,10,-5.61787990003152,
2024-06-18,1272746.4805394653,5726.928326465422,10,-5.6612867643165865,
2024-07-02,1246056.3655792365,5420.335519236425,10,-7.639615630245345,
2024-07-16,1237869.3749101786,25226.437549178547,10,-8.246453030152434,
2024-07-30,1182601.0828464064,4653.635850406601,10,-12.343057998818486,
2024-08-13,1167545.9810411562,10418.16697315652,10,-13.458974604093655,
2024-08-27,1141707.2915554806,2752.5694074804924,10,-15.374193978137274,
2024-09-10,1105285.7895713022,1977.1082653024205,10,-18.073834231585007,
2024-09-26,1211974.296066309,14527.026550309412,10,-10.16585210500336,
2024-10-17,1265753.9665552394,2989.975715239416,10,-6.1795869769990075,
2024-10-31,1296270.9185132836,5791.345335283462,10,-3.9176047019611637,
2024-11-14,1354109.4041266209,19619.12037362071,10,0.0,
2024-11-28,1326157.9073985678,4249.370829567721,10,-2.0641978146574758,
2024-12-12,1366341.288152249,13118.983250248915,10,0.0,
2024-12-26,1333207.473825812,4233.767885812034,10,-2.4250027876450253,
2025-01-10,1274664.425160304,5218.981938304045,10,-6.709660594090872,
2025-01-24,1346918.6031044773,15682.676086477295,10,-1.4215105125043648,
2025-02-17,1356769.9454250974,3104.965307097329,10,-0.7005089292218769,
