date,code,action,price,shares,pnl,reason
2023-06-01,600036,buy,26.77243995666504,7400,0.0,
2023-06-01,600309,buy,79.0108413696289,2500,0.0,
2023-06-01,601012,buy,27.904895782470703,7100,0.0,
2023-06-01,601985,buy,6.576780796051025,30400,0.0,
2023-06-01,000651,buy,27.30772590637207,7300,0.0,
2023-06-15,600036,sell,28.158660888671875,7400,10258.034896850586,
2023-06-15,600309,sell,88.046142578125,2500,22588.253021240234,
2023-06-15,000651,sell,31.093706130981445,7300,27637.655639648438,
2023-06-15,601012,sell,28.44096565246582,7100,3806.096076965332,
2023-06-15,600028,buy,5.6208977699279785,38400,0.0,
2023-06-15,601398,buy,4.121046543121338,52400,0.0,
2023-06-15,601857,buy,6.446362495422363,33500,0.0,
2023-06-15,600900,buy,20.053295135498047,10700,0.0,
2023-07-03,601985,sell,6.6801300048828125,30400,3141.815948486328,
2023-07-03,601398,sell,4.095867156982422,52400,-1319.3998336791992,
2023-07-03,601857,sell,6.863399028778076,33500,13970.723867416382,
2023-07-03,600028,sell,5.808743953704834,38400,7213.29345703125,
2023-07-03,603288,buy,45.790775299072266,4700,0.0,
2023-07-03,002352,buy,43.30878448486328,5000,0.0,
2023-07-03,600585,buy,22.074111938476562,9800,0.0,
2023-07-03,600048,buy,12.227958679199219,17800,0.0,
2023-07-17,002352,sell,43.92547607421875,5000,3083.4579467773438,
2023-07-17,600900,sell,20.197301864624023,10700,1540.8720016479492,
2023-07-17,600887,buy,24.90862464904785,8800,0.0,
2023-07-17,601668,buy,5.138821601867676,43000,0.0,
2023-07-31,600887,sell,25.912206649780273,8800,8831.521606445312,
2023-07-31,601668,sell,5.547385215759277,43000,17568.235397338867,
2023-07-31,600585,sell,24.982959747314453,9800,28506.708526611328,
2023-07-31,600048,sell,13.26248836517334,17800,18414.628410339355,
2023-07-31,600276,buy,44.200828552246094,5300,0.0,
2023-07-31,600900,buy,20.080175399780273,11800,0.0,
2023-07-31,300760,buy,277.7284240722656,800,0.0,
2023-07-31,600028,buy,5.515192985534668,43000,0.0,
2023-08-14,600276,sell,40.274505615234375,5300,-20809.51156616211,
2023-08-14,600900,sell,20.407670974731445,11800,3864.447784423828,
